myid,runno,depot,page_1,page,day,moblink,pclink,Trip Sheet
FrontierWeekday77,77,Frontier,1 of 2,71,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=71,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=71.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday78,78,Frontier,1 of 3,73,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=73,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=73.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday79,79,Frontier,1 of 3,76,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=76,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=76.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday80,80,Frontier,1 of 3,79,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=79,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=79.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday80,80,Frontier,1 of 3,79,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=79,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=79.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday81,81,Frontier,1 of 2,82,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=82,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=82.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday101,101,Frontier,1 of 2,84,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=84,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=84.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday102,102,Frontier,1 of 2,86,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=86,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=86.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday103,103,Frontier,1 of 2,88,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=88,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=88.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday104,104,Frontier,1 of 2,90,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=90,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=90.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday126,126,Frontier,1 of 2,92,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=92,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=92.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday127,127,Frontier,1 of 2,94,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=94,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=94.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday128,128,Frontier,1 of 3,96,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=96,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=96.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday129,129,Frontier,1 of 4,99,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=99,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=99.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday151,151,Frontier,1 of 2,103,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=103,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=103.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday152,152,Frontier,1 of 2,105,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=105,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=105.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday153,153,Frontier,1 of 3,107,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=107,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=107.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday154,154,Frontier,1 of 3,110,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=110,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=110.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday155,155,Frontier,1 of 2,113,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=113,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=113.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday176,176,Frontier,1 of 2,115,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=115,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=115.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday177,177,Frontier,1 of 2,117,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=117,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=117.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday178,178,Frontier,1 of 3,119,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=119,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=119.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
