myid,runno,depot,page_1,page,day,moblink,pclink,Trip Sheet
FrontierWeekday81,81,Frontier,1 of 2,83,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=83,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=83.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday101,101,Frontier,1 of 2,85,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=85,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=85.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday102,102,Frontier,1 of 2,87,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=87,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=87.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday103,103,Frontier,1 of 2,89,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=89,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=89.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday104,104,Frontier,1 of 3,91,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=91,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=91.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday105,105,Frontier,1 of 2,94,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=94,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=94.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday106,106,Frontier,1 of 2,96,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=96,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=96.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday126,126,Frontier,1 of 2,98,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=98,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=98.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday127,127,Frontier,1 of 2,100,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=100,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=100.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday128,128,Frontier,1 of 3,102,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=102,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=102.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday129,129,Frontier,1 of 4,105,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=105,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=105.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday151,151,Frontier,1 of 2,109,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=109,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=109.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday152,152,Frontier,1 of 2,111,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=111,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=111.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday153,153,Frontier,1 of 3,113,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=113,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=113.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday154,154,Frontier,1 of 3,116,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=116,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=116.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
