myid,runno,depot,page_1,page,day,moblink,pclink,Trip Sheet
ElmwoodWeekday352,352,Elmwood,1 of 2,100,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=100,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=100.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday353,353,Elmwood,1 of 2,102,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=102,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=102.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday354,354,Elmwood,1 of 2,104,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=104,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=104.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday355,355,Elmwood,1 of 2,106,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=106,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=106.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday356,356,Elmwood,1 of 2,108,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=108,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=108.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday501,501,Elmwood,1 of 4,110,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=110,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=110.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday502,502,Elmwood,1 of 4,114,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=114,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=114.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday503,503,Elmwood,1 of 2,118,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=118,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=118.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday504,504,Elmwood,1 of 2,120,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=120,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=120.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday505,505,Elmwood,1 of 2,122,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=122,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=122.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday506,506,Elmwood,1 of 2,124,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=124,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=124.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday507,507,Elmwood,1 of 2,126,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=126,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=126.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday508,508,Elmwood,1 of 2,128,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=128,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=128.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday509,509,Elmwood,1 of 3,130,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=130,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=130.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday510,510,Elmwood,1 of 2,133,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=133,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=133.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday511,511,Elmwood,1 of 2,135,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=135,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=135.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday512,512,Elmwood,1 of 2,137,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=137,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=137.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday513,513,Elmwood,1 of 2,139,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=139,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=139.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday514,514,Elmwood,1 of 2,141,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=141,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=141.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday515,515,Elmwood,1 of 2,143,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=143,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=143.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday516,516,Elmwood,1 of 2,145,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=145,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=145.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday517,517,Elmwood,1 of 2,147,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=147,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=147.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday518,518,Elmwood,1 of 2,149,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=149,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=149.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday519,519,Elmwood,1 of 2,151,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=151,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=151.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday520,520,Elmwood,1 of 2,153,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=153,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=153.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday521,521,Elmwood,1 of 4,155,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=155,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=155.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday522,522,Elmwood,1 of 4,159,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=159,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=159.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday523,523,Elmwood,1 of 4,163,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=163,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=163.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday701,701,Elmwood,1 of 2,167,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=167,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=167.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday702,702,Elmwood,1 of 2,169,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=169,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=169.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday703,703,Elmwood,1 of 1,171,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=171,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=171.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday704,704,Elmwood,1 of 1,172,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=172,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=172.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday705,705,Elmwood,1 of 1,173,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=173,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=173.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
ElmwoodWeekday706,706,Elmwood,1 of 2,174,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles.pdf#page=174,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/paddles/weekday-paddles#page=174.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/elmwood/trip-sheets/weekday-trip-sheets.pdf
